Age	Gender	Speaker	Vowel	Context	F1	F2
O	M	M1949c	e	pen	516.978	1643.743
O	M	M1949c	e	says	477.906	1568.161
O	M	M1949c	e	sell	561.872	1281.591
O	M	M1949c	e	neck	515.744	1574.571
O	M	M1949c	e	belly	519.183	1294.411
O	M	M1949c	e	stef	554.375	1535.845
O	M	M1949c	e	beg	501.455	1643.476
O	M	M1949c	e	jess	519.712	1661.37
O	M	M1949c	e	gem	446.419	1714.25
O	M	M1949b	e	bet	518.037	1624.246
O	M	M1949b	e	bed	489.901	1693.686
O	M	M1949b	e	pen	523.417	1787.696
O	M	M1949b	e	says	494.223	1626.65
O	M	M1949b	e	sell	517.331	1568.428
O	M	M1949b	e	neck	568.134	1755.914
O	M	M1949b	e	belly	547.231	1496.852
O	M	M1949b	e	stef	547.054	1678.729
O	M	M1949b	e	beg	490.519	1803.453
O	M	M1949b	e	jess	523.417	1592.999
O	M	M1949b	e	gem	452.417	1694.487
O	M	M1949a	e	bet	524.916	1551.602
O	M	M1949a	e	bed	524.74	1575.105
O	M	M1949a	e	pen	558.079	1635.196
O	M	M1949a	e	says	531.355	1605.017
O	M	M1949a	e	sell	506.218	1620.775
O	M	M1949a	e	neck	590.977	1527.833
O	M	M1949a	e	belly	497.134	1516.883
O	M	M1949a	e	stef	577.13	1538.516
O	M	M1949a	e	beg	546.26	1638.401
O	M	M1949a	e	jess	549.083	1546.261
O	M	M1949a	e	gem	435.218	1663.506
O	M	M1943	e	bet	483.198	1558.813
O	M	M1943	e	bed	457.444	1596.204
O	M	M1943	e	pen	513.098	1639.47
O	M	M1943	e	says	484.521	1594.067
O	M	M1943	e	sell	502.602	1527.566
O	M	M1943	e	neck	512.657	1621.042
O	M	M1943	e	belly	491.753	1518.218
O	M	M1943	e	stef	501.808	1510.74
O	M	M1943	e	beg	474.731	1625.315
O	M	M1943	e	jess	494.929	1579.111
O	M	M1943	e	gem	470.674	1634.662
O	M	M1940	e	bet	490.871	1646.414
O	M	M1940	e	bed	459.737	1691.549
O	M	M1940	e	pen	352.928	1764.46
O	M	M1940	e	says	463.706	1635.464
O	M	M1940	e	sell	526.857	1450.114
