Age	Gender	Speaker	Vowel	Context	F1	F2
O	M	M1949c	u	fuss	554.463	1275.715
O	M	M1949c	u	hug	571.838	1418.066
O	M	M1949c	u	rough	539.998	1242.598
O	M	M1949c	u	buzz	569.457	1299.752
O	M	M1949c	u	gull	500.75	1117.074
O	M	M1949c	u	mud	555.698	1362.781
O	M	M1949c	u	stuck	586.214	1425.277
O	M	M1949c	u	mutt	541.498	1261.293
O	M	M1949c	u	gully	506.042	1211.084
O	M	M1949c	u	run	516.185	1294.678
O	M	M1949c	u	gum	516.626	1276.784
O	M	M1949b	u	fuss	585.685	1165.948
O	M	M1949b	u	hug	531.531	1253.281
O	M	M1949b	u	rough	565.047	1211.885
O	M	M1949b	u	buzz	565.223	1286.398
O	M	M1949b	u	gull	567.869	1191.053
O	M	M1949b	u	mud	549.083	1214.021
O	M	M1949b	u	stuck	605.001	1262.362
O	M	M1949b	u	mutt	574.131	1263.163
O	M	M1949b	u	gully	549.524	1338.211
O	M	M1949b	u	run	492.988	1235.654
O	M	M1949b	u	gum	561.342	1257.554
O	M	M1949a	u	fuss	560.725	1349.962
O	M	M1949a	u	hug	555.786	1341.415
O	M	M1949a	u	rough	571.044	1311.236
O	M	M1949a	u	buzz	557.197	1324.857
O	M	M1949a	u	gull	584.01	1132.831
O	M	M1949a	u	mud	569.633	1378.005
O	M	M1949a	u	stuck	581.099	1332.335
O	M	M1949a	u	mutt	580.041	1343.819
O	M	M1949a	u	gully	560.725	1160.34
O	M	M1949a	u	run	575.366	1446.375
O	M	M1949a	u	gum	573.955	1358.508
O	M	M1943	u	fuss	548.024	1195.059
O	M	M1943	u	hug	543.262	1231.915
O	M	M1943	u	rough	565.576	1211.351
O	M	M1943	u	buzz	550.229	1168.619
O	M	M1943	u	gull	521.741	1109.329
O	M	M1943	u	mud	540.263	1230.847
O	M	M1943	u	stuck	566.105	1235.387
O	M	M1943	u	mutt	610.116	1205.208
O	M	M1943	u	gully	536.735	1201.469
O	M	M1943	u	run	570.25	1226.04
