speaker,vowel/frame,context,F1,F2
M1992a,e,neck,630.7717063,1513.66291
M1992a,e,belly,550.0106986,1297.606245
M1992a,e,stef,620.3925381,1397.115235
M1992a,e,beg,498.302016,1591.403897
M1992a,e,jess,591.1236797,1370.861235
M1992a,e,gem,651.2696557,1373.059784
M1992a,EI,make,514.9802273,1846.336528
M1992a,EI,make,537.3786371,1964.208728
M1992a,EI,game,430.5221253,2053.74681
M1992a,EI,play,516.4453351,1446.837088
M1992a,I,bit,479.8110623,1507.280432
M1992a,II,sleep,372.2063892,2224.944753
M1992a,II,believe,371.7963319,2187.376568
M1992a,II,easy,333.2413546,2056.634852
M1992a,II,keeps,337.5503571,2416.864572
M1992a,II,clean,515.6874814,2430.388985
M1992a,II,treat,374.9789643,1827.992975
M1992a,o,mall,602.7569227,963.1091766
M1992a,o,loss,626.3480561,990.8873174
M1992a,o,knob,637.1064621,1143.164301
M1992a,o,sock,657.5462967,1146.999673
M1992a,o,cause,606.2973655,1137.763061
M1992a,o,nod,659.8278729,1183.362371
M1992a,o,gone,627.0902177,1158.564147
M1992a,o,soft,633.4554854,1145.690722
M1992a,o,mom,648.1568323,1160.882149
M1992a,o,lot,615.5753632,1064.230419
M1992a,OR,door,492.9340675,1143.949415
M1992a,OR,george,514.3853667,1339.879395
M1992a,OR,pour,502.6133623,1072.337871
M1992a,OU,kosher,483.0664187,1247.601796
M1992a,OU,crow,527.1819767,1293.561556
M1992a,OU,stone,566.6923374,1240.337921
M1992a,u,fuss,619.5000116,1234.975488
M1992a,u,hug,570.5571381,1343.393505
M1992a,u,rough,617.1627789,1281.445314
M1992a,u,buzz,548.3464727,1320.540691
M1992a,u,gull,527.4498956,994.310691
M1992a,u,mud,612.0558064,1259.506103
M1992a,u,stuck,643.3836271,1270.9169
M1992a,u,mutt,646.7945067,1295.590929
M1992a,u,gully,533.9873917,1149.608604
M1992a,u,run,623.9851457,1267.718238
M1992a,u,gum,629.194218,1327.221965
M1992a,UU,super,378.6452781,1818.339417
M1992a,UU,room,492.991255,1456.333284
M1992a,UU,food,347.8578243,1383.838169
M1991,ae,staff,804.042396,1371.542454
M1991,ae,stack,732.9347398,1619.8776
M1991,ae,ham,834.533103,1688.286249
M1991,ae,lab,776.6820408,1307.98954
M1991,ae,pass,838.0274853,1300.816711
M1991,ae,valley,769.7068266,1316.013122
M1991,ae,jazz,750.4800457,1376.995989
M1991,ae,bad,807.4091114,1420.738639
M1991,ae,pan,790.6743851,1588.865524
M1991,ae,rat,889.5688062,1383.827458
M1991,ae,sal,848.0651417,1486.77136
M1991,AI,buy,735.6185029,1169.270541
M1991,AI,mike,720.9421075,1366.608687
M1991,AI,mike,750.7104722,1282.874865
M1991,e,bet,670.3871488,1739.840579
M1991,e,bed,605.773294,1760.110239
M1991,e,pen,585.8183613,1989.86939
M1991,e,says,619.0139287,1772.044744
M1991,e,sell,661.1742198,1698.185808
M1991,e,neck,722.1329378,1871.148156
M1991,e,belly,659.3260056,1518.022202
M1991,e,stef,673.828258,1777.929664
M1991,e,beg,669.1303088,1758.224135
M1991,e,jess,707.9562512,1654.317678
M1991,e,gem,616.2252254,1733.038621
M1991,EI,make,472.5283328,1909.085303
M1991,EI,make,466.5396607,2050.349627
M1991,EI,game,406.3156758,2279.351999
M1991,EI,play,477.3396879,1576.799304
M1991,I,bit,501.8970941,1691.96004
M1991,II,sleep,315.4673806,1982.620624
M1991,II,believe,335.664175,1954.05223
M1991,II,easy,374.8003061,2179.73331
M1991,II,keeps,300.9416498,2287.504674
M1991,II,clean,413.5295527,2030.025048
M1991,II,treat,346.1029111,1873.902365
M1991,o,mall,622.3501393,838.6594354
M1991,o,loss,633.5213625,1025.118251
M1991,o,knob,686.71493,1121.580539
M1991,o,sock,679.2947167,1078.731185
M1991,o,cause,628.0175011,1023.276184
M1991,o,nod,700.1983552,1082.364358
M1991,o,holly,632.4721811,883.4525552
M1991,o,gone,576.7588087,1014.996614
M1991,o,soft,645.7023288,1104.013358
M1991,o,mom,709.213969,994.1715333
M1991,o,lot,614.0247468,966.8733154
M1991,OR,door,451.3462066,957.2062658
M1991,OR,george,471.2095257,941.7231266
M1991,OR,poured,440.4807432,725.0240712
M1991,OU,kosher,501.1583127,1154.55097
M1991,OU,crow,541.8911714,1271.003906
M1991,OU,stone,568.0448948,1412.59711
M1991,u,fuss,717.1645172,1262.643765
M1991,u,hug,720.726401,1282.68207
M1991,u,rough,690.8012528,1221.339585
M1991,u,buzz,679.7421358,1144.515897
M1991,u,gull,556.5666493,1076.983922
M1991,u,mud,737.0643197,1292.008035
M1991,u,stuck,731.3927628,1262.621557
M1991,u,mutt,810.5756122,1292.485831
M1991,u,gully,586.3872959,1135.842821
M1991,u,run,735.2211031,1326.424454
M1991,u,gum,690.9907651,1196.322507
M1991,UU,supermarket,349.2725886,1525.336348
M1991,UU,room,429.9259497,1272.746979
M1991,UU,food,356.8444126,1309.225343
M1989,ae,staff,809.1573938,1311.403926
M1989,ae,stack,798.8237669,1441.149265
M1989,ae,lab,793.1820831,1295.376371
M1989,ae,pass,821.040154,1364.087791
M1989,ae,valley,752.8439378,1357.051975
M1989,ae,jazz,797.5144993,1372.760695
M1989,ae,bad,798.2014538,1426.447317
M1989,ae,pan,836.0632803,1604.019691
M1989,ae,rat,850.3923568,1427.971323
M1989,ae,sal,750.0256031,1435.762591
M1989,AI,buy,670.8299597,1080.472302
M1989,AI,mike,659.6676829,1471.507477
M1989,AI,mike,675.8979967,1465.596909
M1989,e,bet,705.7632984,1605.372624
M1989,e,bed,698.30401,1541.420241
M1989,e,pen,715.9396313,1862.898876
M1989,e,says,633.1197753,1568.291789
M1989,e,sell,618.4987582,1508.870886
M1989,e,neck,702.7840493,1704.822995
M1989,e,belly,633.520792,1539.794843
M1989,e,stef,679.7483299,1571.286212
M1989,e,beg,670.8325893,1619.140777
M1989,e,jess,733.4046021,1470.289204
M1989,e,gem,719.1114494,1550.747762
M1989,EI,make,507.7366366,1734.42533
M1989,EI,make,501.0306304,1899.471251
M1989,EI,game,412.7764215,1957.835773
M1989,EI,play,548.2329011,1645.686221
M1989,I,bit,484.7942336,1574.853434
M1989,II,sleep,327.4549655,1900.858854
M1989,II,believe,335.8033969,2091.571313
M1989,II,easy,295.3138819,2062.681346
M1989,II,keeps,380.7093696,1995.177976
M1989,II,clean,494.6208769,1949.112672
M1989,II,treat,361.1431169,2012.369611
M1989,o,mall,693.3422752,925.8842971
M1989,o,loss,710.1106559,978.3249305
M1989,o,knob,706.2297821,1023.438318
M1989,o,sock,728.29725,1132.533438
M1989,o,cause,715.5401137,978.347865
