Stimulus	Response	Subject	Gender	Age	Outlier	u	ae	o	e	F1	F2	F1_u	F2_u	F1_o	F2_o	F1_e	F2_e	F1_ae	F2_ae
58	e	F1937	F	O		0	0	0	1	800	1950	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
57	u	F1937	F	O		1	0	0	0	700	1650	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
56	e	F1937	F	O		0	0	0	1	800	1800	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
55	o	F1937	F	O		0	0	1	0	800	1300	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
54	u	F1937	F	O		1	0	0	0	800	1650	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
53	o	F1937	F	O		0	0	1	0	950	1350	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
52	ae	F1937	F	O	1	0	1	0	0	950	1900	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
51	ae	F1937	F	O		0	1	0	0	900	1750	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
50	u	F1937	F	O		1	0	0	0	750	1550	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
49	u	F1937	F	O		1	0	0	0	800	1550	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
48	ae	F1937	F	O		0	1	0	0	950	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
47	o	F1937	F	O		0	0	1	0	850	1300	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
46	u	F1937	F	O	2	1	0	0	0	700	1750	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
45	e	F1937	F	O		0	0	0	1	750	1900	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
44	ae	F1937	F	O		0	1	0	0	950	1950	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
43	o	F1937	F	O		0	0	1	0	950	1300	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
42	e	F1937	F	O		0	0	0	1	800	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
41	o	F1937	F	O		0	0	1	0	850	1200	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
40	u	F1937	F	O		1	0	0	0	700	1550	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
39	o	F1937	F	O		0	0	1	0	850	1350	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
38	e	F1937	F	O	1	0	0	0	1	750	1700	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
37	o	F1937	F	O		0	0	1	0	950	1200	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
36	u	F1937	F	O		1	0	0	0	800	1450	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
35	ae	F1937	F	O		0	1	0	0	950	1700	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
34	e	F1937	F	O		0	0	0	1	850	1950	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
33	e	F1937	F	O		0	0	0	1	800	1750	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
32	o	F1937	F	O	2	0	0	1	0	900	1400	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
31	u	F1937	F	O		1	0	0	0	750	1650	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
30	o	F1937	F	O	1	0	0	1	0	950	1450	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
29	e	F1937	F	O		0	0	0	1	700	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
28	ae	F1937	F	O		0	1	0	0	850	1600	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
27	u	F1937	F	O		1	0	0	0	700	1300	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
26	e	F1937	F	O	1	0	0	0	1	700	1800	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
25	o	F1937	F	O		0	0	1	0	900	1300	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
24	ae	F1937	F	O	2	0	1	0	0	900	1950	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
23	ae	F1937	F	O		0	1	0	0	900	1550	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
22	e	F1937	F	O		0	0	0	1	800	1900	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
21	e	F1937	F	O		0	0	0	1	700	1950	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
20	ae	F1937	F	O		0	1	0	0	950	1650	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
19	e	F1937	F	O	2	0	0	0	1	700	1700	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
18	ae	F1937	F	O		0	1	0	0	900	1900	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
17	o	F1937	F	O		0	0	1	0	800	1350	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
16	ae	F1937	F	O		0	1	0	0	950	1800	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
15	o	F1937	F	O		0	0	1	0	900	1250	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
14	ae	F1937	F	O		0	1	0	0	950	1600	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
13	u	F1937	F	O		1	0	0	0	750	1350	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
12	o	F1937	F	O		0	0	1	0	800	1200	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
11	e	F1937	F	O	1	0	0	0	1	800	1600	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
10	ae	F1937	F	O		0	1	0	0	850	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
9	u	F1937	F	O		1	0	0	0	800	1400	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
8	e	F1937	F	O		0	0	0	1	750	1850	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
7	ae	F1937	F	O		0	1	0	0	900	1650	562.473	1290.647	520.097	1117.85	503.644	1671.47	634.026	1437.805
102	ae	F1950	F	O		0	1	0	0	950	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
101	u	F1950	F	O		1	0	0	0	850	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
100	u	F1950	F	O		1	0	0	0	750	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
99	ae	F1950	F	O		0	1	0	0	950	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
98	ae	F1950	F	O		0	1	0	0	900	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
97	u	F1950	F	O		1	0	0	0	750	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
96	u	F1950	F	O		1	0	0	0	800	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
95	ae	F1950	F	O		0	1	0	0	900	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
94	u	F1950	F	O		1	0	0	0	750	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
93	o	F1950	F	O		0	0	1	0	700	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
92	u	F1950	F	O		1	0	0	0	850	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
91	u	F1950	F	O		1	0	0	0	800	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
90	e	F1950	F	O		0	0	0	1	850	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
89	o	F1950	F	O	1	0	0	1	0	700	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
88	e	F1950	F	O		0	0	0	1	850	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
87	ae	F1950	F	O		0	1	0	0	900	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
86	o	F1950	F	O		0	0	1	0	950	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
85	ae	F1950	F	O		0	1	0	0	850	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
84	ae	F1950	F	O		0	1	0	0	850	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
83	ae	F1950	F	O		0	1	0	0	900	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
82	ae	F1950	F	O		0	1	0	0	950	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
81	e	F1950	F	O		0	0	0	1	750	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
80	u	F1950	F	O		1	0	0	0	750	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
79	o	F1950	F	O		0	0	1	0	700	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
78	e	F1950	F	O		0	0	0	1	750	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
77	u	F1950	F	O		1	0	0	0	900	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
76	ae	F1950	F	O		0	1	0	0	900	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
75	o	F1950	F	O		0	0	1	0	750	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
74	e	F1950	F	O	1	0	0	0	1	800	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
73	o	F1950	F	O		0	0	1	0	700	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
72	e	F1950	F	O		0	0	0	1	750	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
71	ae	F1950	F	O		0	1	0	0	850	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
70	e	F1950	F	O		0	0	0	1	700	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
69	u	F1950	F	O		1	0	0	0	700	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
68	ae	F1950	F	O		0	1	0	0	850	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
67	ae	F1950	F	O		0	1	0	0	900	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
66	ae	F1950	F	O		0	1	0	0	950	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
65	u	F1950	F	O		1	0	0	0	750	1500	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
64	o	F1950	F	O		0	0	1	0	750	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
63	o	F1950	F	O		0	0	1	0	700	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
62	u	F1950	F	O		1	0	0	0	850	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
61	ae	F1950	F	O		0	1	0	0	900	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
60	u	F1950	F	O		1	0	0	0	700	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
59	ae	F1950	F	O		0	1	0	0	850	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
58	e	F1950	F	O		0	0	0	1	800	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
57	o	F1950	F	O		0	0	1	0	700	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
56	e	F1950	F	O		0	0	0	1	800	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
55	u	F1950	F	O		1	0	0	0	800	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
54	o	F1950	F	O		0	0	1	0	800	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
53	u	F1950	F	O		1	0	0	0	950	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
52	ae	F1950	F	O		0	1	0	0	950	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
51	ae	F1950	F	O		0	1	0	0	900	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
50	u	F1950	F	O	1	1	0	0	0	750	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
49	u	F1950	F	O		1	0	0	0	800	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
