Age	Gender	Speaker	Vowel	Context	F1	F2
O	M	M1949d	ae	rat	635.606	1605.551
O	M	M1949d	ae	staff	623.787	1415.395
O	M	M1949d	ae	pass	603.766	1484.567
O	M	M1949c	ae	staff	614.526	1510.473
O	M	M1949c	ae	stack	605.265	1497.386
O	M	M1949c	ae	ham	587.626	1535.845
O	M	M1949c	ae	lab	596.975	1361.179
O	M	M1949c	ae	pass	647.425	1463.735
O	M	M1949c	ae	valley	625.992	1435.158
O	M	M1949c	ae	jazz	611.528	1490.977
O	M	M1949c	ae	bad	594.858	1476.288
O	M	M1949c	ae	pan	595.211	1633.06
O	M	M1949c	ae	rat	670.621	1500.858
O	M	M1949c	ae	sal	525.534	1443.171
O	M	M1949b	ae	staff	634.548	1470.946
O	M	M1949b	ae	stack	690.818	1539.05
O	M	M1949b	ae	ham	555.433	1449.847
O	M	M1949b	ae	lab	634.371	1532.106
O	M	M1949b	ae	pass	555.698	1458.394
O	M	M1949b	ae	valley	545.378	1353.167
O	M	M1949b	ae	jazz	585.421	1550
O	M	M1949b	ae	bad	578.718	1538.783
O	M	M1949b	ae	pan	577.483	1743.361
O	M	M1949b	ae	rat	608	1533.174
O	M	M1949b	ae	sal	607.735	1421.805
O	M	M1949a	ae	staff	585.685	1545.727
O	M	M1949a	ae	stack	598.386	1518.218
O	M	M1949a	ae	ham	584.715	1465.605
O	M	M1949a	ae	lab	593.359	1451.984
O	M	M1949a	ae	pass	572.632	1390.824
O	M	M1949a	ae	valley	598.474	1494.983
O	M	M1949a	ae	jazz	518.389	1617.57
O	M	M1949a	ae	bad	586.479	1463.735
O	M	M1949a	ae	pan	560.108	1530.504
O	M	M1949a	ae	rat	593.447	1469.611
O	M	M1949a	ae	sal	590.801	1373.998
O	M	M1943	ae	staff	581.187	1447.177
O	M	M1943	ae	stack	582.157	1520.889
O	M	M1943	ae	ham	552.699	1587.657
O	M	M1943	ae	lab	552.17	1490.176
O	M	M1943	ae	pass	588.155	1483.499
O	M	M1943	ae	valley	577.13	1382.011
O	M	M1943	ae	jazz	563.283	1467.474
O	M	M1943	ae	bad	553.757	1485.635
O	M	M1943	ae	pan	540.175	1587.924
O	M	M1943	ae	rat	634.283	1539.851
O	M	M1943	ae	sal	592.565	1476.021
O	M	M1940	ae	staff	711.016	1451.717
O	M	M1940	ae	stack	628.462	1503.262
O	M	M1940	ae	ham	507.012	1615.7
O	M	M1940	ae	lab	654.128	1473.884
O	M	M1940	ae	pass	631.99	1529.702
O	M	M1940	ae	valley	494.047	1105.322
O	M	M1940	ae	jazz	604.207	1520.088
O	M	M1940	ae	bad	605.265	1533.709
O	M	M1940	ae	pan	438.481	1635.998
O	M	M1940	ae	rat	589.654	1469.878
O	M	M1940	ae	sal	572.455	1479.493
Y	F	F1991	ae	staff	612.057	1406.314
Y	F	F1991	ae	stack	585.156	1213.487
Y	F	F1991	ae	ham	535.676	1588.726
Y	F	F1991	ae	lab	586.655	1438.63
Y	F	F1991	ae	pass	571.309	1332.335
Y	F	F1991	ae	valley	634.724	1343.819
Y	F	F1991	ae	jazz	601.208	1327.528
Y	F	F1991	ae	bad	634.548	1378.806
Y	F	F1991	ae	pan	541.586	1160.607
Y	F	F1991	ae	rat	669.033	1416.73
Y	F	F1991	ae	sal	635.077	1332.335
Y	F	F1989	ae	staff	620.7	1353.968
Y	F	F1989	ae	pass	622.2	1350.229
Y	F	F1989	ae	stack	620.612	1419.134
Y	F	F1989	ae	rat	642.221	1349.161
Y	F	F1989	ae	sal	613.292	1341.683
Y	F	F1989	ae	valley	595.564	1322.72
Y	F	F1989	ae	ham	564.782	1378.806
Y	F	F1989	ae	pan	614.615	1436.227
Y	F	F1989	ae	jazz	622.729	1408.451
Y	F	F1989	ae	lab	592.653	1338.478
Y	F	F1989	ae	bad	643.985	1425.544
Y	F	F1988b	ae	staff	595.034	1504.063
Y	F	F1988b	ae	stack	648.042	1487.772
Y	F	F1988b	ae	ham	599.356	1531.839
Y	F	F1988b	ae	lab	613.821	1308.298
Y	F	F1988b	ae	pass	607.206	1459.195
Y	F	F1988b	ae	valley	600.767	1444.506
Y	F	F1988b	ae	jazz	574.043	1432.221
Y	F	F1988b	ae	bad	610.822	1470.412
Y	F	F1988b	ae	pan	605.089	1528.634
Y	F	F1988b	ae	rat	624.405	1428.749
Y	F	F1988b	ae	sal	599.356	1288.802
Y	F	F1988a	ae	staff	644.426	1387.886
Y	F	F1988a	ae	stack	628.815	1356.105
Y	F	F1988a	ae	ham	543.526	1332.602
Y	F	F1988a	ae	lab	603.061	1324.857
Y	F	F1988a	ae	pass	614.262	1303.224
Y	F	F1988a	ae	valley	612.057	1344.086
Y	F	F1988a	ae	jazz	570.78	1353.968
Y	F	F1988a	ae	bad	597.416	1337.409
Y	F	F1988a	ae	pan	528.621	1456.791
Y	F	F1988a	ae	rat	605.618	1401.24
Y	F	F1988a	ae	sal	594.858	1318.18
Y	F	F1984	ae	staff	618.672	1344.353
Y	F	F1984	ae	pass	610.028	1304.292
Y	F	F1984	ae	stack	642.133	1347.024
Y	F	F1984	ae	rat	628.815	1340.08
Y	F	F1984	ae	sal	607.823	1347.558
Y	F	F1984	ae	valley	586.391	1370.259
Y	F	F1984	ae	ham	600.503	1435.158
Y	F	F1984	ae	pan	610.998	1452.785
Y	F	F1984	ae	jazz	594.241	1410.855
Y	F	F1984	ae	lab	570.956	1328.596
Y	F	F1984	ae	bad	600.415	1422.606
O	F	F1961	ae	staff	609.587	1406.581
O	F	F1961	ae	stack	608.352	1468.008
O	F	F1961	ae	ham	631.02	1533.174
O	F	F1961	ae	lab	585.774	1354.769
O	F	F1961	ae	pass	638.869	1367.589
O	F	F1961	ae	valley	626.786	1418.6
O	F	F1961	ae	jazz	598.033	1373.731
O	F	F1961	ae	bad	568.839	1402.041
O	F	F1961	ae	pan	611.087	1534.51
O	F	F1961	ae	sal	539.293	1375.334
O	F	F1957	ae	staff	581.54	1407.917
O	F	F1957	ae	pass	608.264	1507.535
O	F	F1957	ae	stack	574.572	1523.56
O	F	F1957	ae	rat	645.22	1446.375
O	F	F1957	ae	sal	647.601	1508.871
O	F	F1957	ae	valley	628.903	1501.393
O	F	F1957	ae	ham	635.782	1544.926
O	F	F1957	ae	pan	587.802	1574.037
O	F	F1957	ae	jazz	583.657	1465.605
O	F	F1957	ae	lab	621.582	1471.48
O	F	F1957	ae	bad	639.046	1489.107
O	F	F1952	ae	staff	604.736	1428.749
O	F	F1952	ae	stack	506.483	1551.602
O	F	F1952	ae	ham	495.811	1457.325
