"Subject","Gender","Age","BirthYear","LabovHierarchy","Trial","Trial_c","F1","F2","F1_c","F2_c","RT","RT_c","LogRT","LogRT_c","Response","ChosenVowel","F1_ae","F2_ae","F1_e","F2_e","F1_o","F2_o","F1_u","F2_u","ED_e","ED_ae","ED_both"
"F1937","F","old",1937,3,7,-47.5,900,1650,75,75,426,-103.949776785714,6.05443934626937,-0.042343504393612,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,8,-46.5,750,1850,-75,275,429,-100.949776785714,6.06145691892802,-0.0353259317349659,"BET","e",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,9,-45.5,800,1400,-25,-175,826,296.050223214286,6.71659477352098,0.619811922857995,"BUT","u",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,10,-44.5,850,1850,25,275,571,41.0502232142857,6.34738920965601,0.250606358993028,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,11,-43.5,800,1600,-25,25,997,467.050223214286,6.90475076996184,0.807967919298855,"BET","e",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,12,-42.5,800,1200,-25,-375,630,100.050223214286,6.44571981938558,0.348936968722596,"BOUGHT","o",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,13,-41.5,750,1350,-75,-225,601,71.0502232142857,6.39859493453521,0.301812083872225,"BUT","u",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,14,-40.5,950,1600,125,25,467,-62.9497767857143,6.1463292576689,0.0495464070059146,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,15,-39.5,900,1250,75,-325,596,66.0502232142857,6.39024066706535,0.293457816402367,"BOUGHT","o",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,16,-38.5,950,1800,125,225,489,-40.9497767857143,6.19236248947487,0.0955796388118895,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,17,-37.5,800,1350,-25,-225,476,-53.9497767857143,6.16541785423142,0.0686350035684375,"BOUGHT","o",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,18,-36.5,900,1900,75,325,711,181.050223214286,6.56667242980324,0.469889579140258,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,19,-35.5,700,1700,-125,125,1332,802.050223214286,7.19443685110033,1.09765400043735,"BET","e",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,20,-34.5,950,1650,125,75,369,-160.949776785714,5.91079664404053,-0.185986206622456,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,21,-33.5,700,1950,-125,375,434,-95.9497767857143,6.07304453410041,-0.0237383165625777,"BET","e",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,22,-32.5,800,1900,-25,325,451,-78.9497767857143,6.11146733950268,0.0146844888396958,"BET","e",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,23,-31.5,900,1550,75,-25,377,-152.949776785714,5.93224518744801,-0.164537663214972,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
"F1937","F","old",1937,3,24,-30.5,900,1950,75,375,1666,1136.05022321429,7.41818082272679,1.3213979720638,"BAT","ae",634.026454545454,1437.80481818182,503.644454545455,1671.46990909091,520.097454545455,1117.85045454545,562.473,1290.64709090909,203.269486093495,109.062563834428,156.166024963961
